dataset_id,data_volume,requests,group_title,data_source,dataset_title,var,sensor
erdTAgeo1day,161,4232,Aviso Altimetry,ESA,Aviso Ocean Currents,currents,blended
erdTAgeomday,663,15726,Aviso Altimetry,ESA,Aviso Ocean Currents,currents,blended
erdTAssh1day,3244,3982,Aviso Altimetry,ESA,Aviso Sea Surface Height,sst,modis
erdTAsshmday,3536,7924,Aviso Altimetry,ESA,Aviso Sea Surface Height,sst,modis
jplAvisoSshMon,12,680,Aviso Altimetry,ESA,Aviso Sea Surface Height,sst,modis
charmForecast0day,105,6856,Habitat Model,NOAA,C-HARM HABS Forecast V1,habitat,viirs-snpp
charmForecast0dayV2,117,2642,Habitat Model,NOAA,C-HARM HABS Forecast V2,habitat,viirs-snpp
charmForecast1day,16,686,Habitat Model,NOAA,C-HARM HABS Forecast V1,habitat,viirs-snpp
charmForecast1dayV2,20,1046,Habitat Model,NOAA,C-HARM HABS Forecast V2,habitat,viirs-snpp
charmForecast2day,9,582,Habitat Model,NOAA,C-HARM HABS Forecast V1,habitat,viirs-snpp
charmForecast2dayV2,12,926,Habitat Model,NOAA,C-HARM HABS Forecast V2,habitat,viirs-snpp
charmForecast3day,10,654,Habitat Model,NOAA,C-HARM HABS Forecast V1,habitat,viirs-snpp
charmForecast3dayV2,56,1548,Habitat Model,NOAA,C-HARM HABS Forecast V2,habitat,viirs-snpp
erdMurFront41USWest,125720,33680,ERD MUR Sea Surface Temperature,NASA,"Thermal Fronts, NASA MUR",fronts,blended
jplMURSST,31,1208,ERD MUR Sea Surface Temperature,NASA,"SST, NASA MUR",sst,blended
jplMURSST41,319602,203672,ERD MUR Sea Surface Temperature,NASA,"SST, NASA MUR",sst,blended
jplmursst41,0,2,ERD MUR Sea Surface Temperature,NASA,"SST, NASA MUR",sst,blended
jplMURSST41anom1day,17358,8758,ERD MUR Sea Surface Temperature,NASA,"SST Anomaly, NASA MUR",sst_anom,blended
jplMURSST41anommday,5376,4330,ERD MUR Sea Surface Temperature,NASA,"SST Anomaly, NASA MUR",sst_anom,blended
jplMURSST41clim,39,776,ERD MUR Sea Surface Temperature,NASA,"Climatology, NASA MUR",climatology,blended
jplMURSST41F,1101,1026,ERD MUR Sea Surface Temperature,NASA,"SST, NASA MUR",sst,blended
jplMURSST41mday,9559,5594,ERD MUR Sea Surface Temperature,NASA,"SST, NASA MUR",sst,blended
jplMURSST42,,,ERD MUR Sea Surface Temperature,NASA,"SST and SST Anomaly, NASA MUR, 0.25 degree",sst,blended
